upc,store,qty,price,name,datetime
616960147961,2815,11,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241030
616960147961,2816,4,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241088
616960147961,3004,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241186
616960147961,3725,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241297
616960147961,5276,5,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241354
616960147961,5402,0,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241410
616960147961,5442,1,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241466
616960147961,5617,2,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241523
616960147961,616,13,399,ST SAM GLXY S7 S930C,2018-04-02 23:35:32.241599
616960152163,1681,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242413
616960152163,1735,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242481
616960152163,1897,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242545
616960152163,1933,3,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242605
616960152163,1938,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242667
616960152163,2204,3,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242722
616960152163,2815,0,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242771
616960152163,2816,3,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242818
616960152163,3725,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242912
616960152163,5276,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.242959
616960152163,5402,1,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.243006
616960152163,5442,2,399,TW SAM GLXY S7 S930C,2018-04-02 23:35:32.243052
190198066558,1933,3,698,7 BLK 128GB,2018-04-02 23:35:32.243101
190198066558,1998,2,698,7 BLK 128GB,2018-04-02 23:35:32.243172
190198066558,3725,2,698,7 BLK 128GB,2018-04-02 23:35:32.243222
190198066558,5442,1,698,7 BLK 128GB,2018-04-02 23:35:32.243278
190198043351,1933,2,818,7  GLD 128GB,2018-04-02 23:35:32.243325
190198043351,3725,1,818,7  GLD 128GB,2018-04-02 23:35:32.243370
190198043351,5442,3,818,7  GLD 128GB,2018-04-02 23:35:32.243415
190198066596,1933,3,698,7 GLD 128GB,2018-04-02 23:35:32.243465
190198066596,1998,1,698,7 GLD 128GB,2018-04-02 23:35:32.243512
190198066596,3725,3,698,7 GLD 128GB,2018-04-02 23:35:32.243557
190198066596,5442,3,698,7 GLD 128GB,2018-04-02 23:35:32.243606
711719504511,224,0,149,PSVR HW,2018-04-03 00:43:29.788124
190198397935,233,0,199,APL WTCH S2 42MM GMB,2018-04-03 00:43:29.789498
662248916354,188,3,12.88,XB1 DEX MNKDIV DAY1,2018-04-03 00:53:42.564335
662248916354,196,8,12.88,XB1 DEX MNKDIV DAY1,2018-04-03 00:53:44.923608
45496901912,1938,0,0.03,WII METROID  OTHER M,2018-04-03 20:35:37.759682
816137024037,1938,2,119,FITBIT ALTA HR BLK L,2018-04-03 21:02:20.554895
816137024037,707,2,119,FITBIT ALTA HR BLK L,2018-04-03 21:02:20.554984
735541304248,596,16,8,DREAM TENTS SPACE,2018-04-03 21:05:06.717454
37000509790,1938,4,13,TIDE PODS OCMST 72CT,2018-04-03 21:06:57.676051
885609009841,1938,1,199,DY V6 SLIM BLUE,2018-04-03 21:06:57.677102
885609009841,3004,2,199,DY V6 SLIM BLUE,2018-04-03 21:06:57.677148
885609009841,707,1,199,DY V6 SLIM BLUE,2018-04-03 21:06:57.677194
73502044322,1938,2,88,HV REWIND BLUE,2018-04-03 21:06:57.678319
73502044322,3004,15,88,HV REWIND BLUE,2018-04-03 21:06:57.678380
73502044322,707,0,88,HV REWIND BLUE,2018-04-03 21:06:57.678472
810351029281,1938,7,129,FITBIT CHRG 2 BK LG,2018-04-03 21:06:57.679416
810351029281,707,9,129,FITBIT CHRG 2 BK LG,2018-04-03 21:06:57.679507
62118101406,1938,2,25,RCA WINDOWS 2IN1 TAB,2018-04-03 21:06:57.680707
62118101406,3004,0,25,RCA WINDOWS 2IN1 TAB,2018-04-03 21:06:57.680791
16853076079,3004,2,159,CP SS 14PC SET,2018-04-03 21:06:57.681372
16853076079,707,1,40,CP SS 14PC SET,2018-04-03 21:06:57.681457
27242876880,82,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.094489
27242876880,188,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.094708
27242876880,196,2,189,SONY HDRCX240/LM,2018-04-04 23:38:26.094804
27242876880,216,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.094921
27242876880,222,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095022
27242876880,224,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095102
27242876880,233,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095271
27242876880,237,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095363
27242876880,252,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095455
27242876880,262,6,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095540
27242876880,302,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095717
27242876880,352,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095823
27242876880,833,3,189,SONY HDRCX240/LM,2018-04-04 23:38:26.095903
616960152163,3004,3,154,TW SAM GLXY S7 S930C,2018-04-05 00:02:37.270144
805780112482,188,0,50,CONTEMPORARY ARMOIRE,2018-04-05 00:03:00.868492
805780112482,237,1,50,CONTEMPORARY ARMOIRE,2018-04-05 00:03:00.868882
805780112482,252,0,50,CONTEMPORARY ARMOIRE,2018-04-05 00:03:00.869480
805780112482,833,2,50,CONTEMPORARY ARMOIRE,2018-04-05 00:03:00.869569
45496591427,82,0,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.680676
45496591427,122,0,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.681180
45496591427,233,6,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.681569
45496591427,237,0,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.681679
45496591427,252,4,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.681761
45496591427,302,10,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.681839
45496591427,352,7,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.682065
45496591427,596,8,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.682254
45496591427,833,8,379,SWITCH SPLATOON 2,2018-04-05 00:03:23.682335
191628693696,188,1,99,HP 14  STREAM COMP,2018-04-05 00:03:31.363747
662248916354,596,7,12.88,XB1 DEX MNKDIV DAY1,2018-04-08 01:24:19.168479
62118101406,237,0,25,RCA WINDOWS 2IN1 TAB,2018-04-08 02:19:56.390967
62118101406,352,0,25,RCA WINDOWS 2IN1 TAB,2018-04-08 02:19:56.391400
62118101406,707,0,25,RCA WINDOWS 2IN1 TAB,2018-04-08 02:19:56.391821
841058015154,237,0,13,HYDRO5 REFILL 8CT,2018-04-09 03:28:27.736654
886598048255,82,2,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.549681
886598048255,196,2,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550437
886598048255,216,1,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550521
886598048255,222,5,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550740
886598048255,224,6,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550818
886598048255,237,2,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550893
886598048255,252,0,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.550968
886598048255,262,2,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.551043
886598048255,302,3,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.551117
886598048255,352,3,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.551192
886598048255,596,7,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.551277
886598048255,833,0,69,ATT HUA ASCEND XT2,2018-04-09 03:28:49.551433
27242876880,122,3,189,SONY HDRCX240/LM,2018-04-12 04:56:02.600381
886598048255,122,4,69,ATT HUA ASCEND XT2,2018-04-12 04:56:23.039313
616376510335,82,0,17,CLOAK 12 LGHTSOUT BN,2018-04-12 17:30:54.257159
616376510328,82,0,21,VISION 16 MP,2018-04-12 17:30:54.257582
841058015154,82,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.703717
841058015154,122,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.703861
841058015154,196,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.703975
841058015154,233,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.704089
841058015154,252,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.704234
841058015154,302,0,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.704358
841058015154,7072,1,13,HYDRO5 REFILL 8CT,2018-04-12 18:03:03.704512
616960147961,82,3,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711019
616960147961,122,2,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711166
616960147961,188,2,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711321
616960147961,196,1,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711459
616960147961,216,3,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711574
616960147961,222,1,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711725
616960147961,224,0,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711839
616960147961,233,4,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.711954
616960147961,237,3,399,ST SAM GLXY S7 S930C,2018-04-12 18:03:03.712067
